split,stratum,n_states,n_node_targets,target_std,target_std_keep,target_std_line,target_abs_mean,keep_line_mean_abs_diff
train,all,2672,13510,0.418201,0.283471,0.511927,0.300207,0.454036
train,N=4,1261,5044,0.344597,0.226945,0.422318,0.248586,0.362218
train,N=6,1411,8466,0.456102,0.311878,0.558204,0.330962,0.508741
train,family=line_corridor,982,5008,0.421822,0.30695,0.50418,0.308831,0.447793
train,family=keep_line_keep,682,3448,0.440933,0.347697,0.510434,0.328899,0.474182
train,family=keep_open,499,2502,0.395607,0.192076,0.518405,0.271952,0.448092
train,family=ambiguous,509,2552,0.396311,0.193389,0.519249,0.272217,0.444896
val,all,1764,8936,0.415439,0.278863,0.510162,0.298151,0.455397
val,N=4,824,3296,0.346048,0.225439,0.42547,0.249955,0.367395
val,N=6,940,5640,0.450652,0.305288,0.553272,0.326316,0.506824
val,family=line_corridor,642,3288,0.419499,0.30169,0.503776,0.307074,0.448538
val,family=keep_line_keep,452,2288,0.436134,0.339694,0.507674,0.323857,0.477573
val,family=keep_open,332,1664,0.393495,0.193344,0.514873,0.271266,0.447443
val,family=ambiguous,338,1696,0.395811,0.194498,0.518275,0.272548,0.44658
