method,stratum,rmse,normalized_rmse,rmse_keep,rmse_line,target_std
direct_keep_line_classifier,all,0.089296,0.214944,0.052264,0.126329,0.415439
direct_keep_line_classifier,N=4,0.087031,0.251499,0.057751,0.116311,0.346048
direct_keep_line_classifier,N=6,0.090302,0.20038,0.048772,0.131831,0.450652
direct_keep_line_classifier,line_corridor,0.095751,0.228251,0.054292,0.13721,0.419499
direct_keep_line_classifier,keep_line_keep,0.098591,0.226057,0.066701,0.130482,0.436134
direct_keep_line_classifier,keep_open,0.07559,0.1921,0.037104,0.114077,0.393495
direct_keep_line_classifier,ambiguous,0.072629,0.183495,0.036399,0.108859,0.395811
rvt_binary_recovery,all,0.078954,0.19005,0.045184,0.112724,0.415439
rvt_binary_recovery,N=4,0.078041,0.22552,0.050141,0.10594,0.346048
rvt_binary_recovery,N=6,0.079261,0.175882,0.042017,0.116506,0.450652
rvt_binary_recovery,line_corridor,0.083399,0.198807,0.047423,0.119376,0.419499
rvt_binary_recovery,keep_line_keep,0.083714,0.191947,0.055544,0.111885,0.436134
rvt_binary_recovery,keep_open,0.072063,0.183136,0.034547,0.109579,0.393495
rvt_binary_recovery,ambiguous,0.067918,0.171592,0.032619,0.103217,0.395811
topology_agnostic_gnn,all,0.315458,0.759336,0.037157,0.593758,0.415439
topology_agnostic_gnn,N=4,0.251755,0.727515,0.04296,0.46055,0.346048
topology_agnostic_gnn,N=6,0.34628,0.768399,0.033301,0.659259,0.450652
topology_agnostic_gnn,line_corridor,0.313375,0.747023,0.037094,0.589657,0.419499
topology_agnostic_gnn,keep_line_keep,0.341406,0.782801,0.050452,0.632361,0.436134
topology_agnostic_gnn,keep_open,0.297827,0.756876,0.024665,0.57099,0.393495
topology_agnostic_gnn,ambiguous,0.296664,0.74951,0.024008,0.56932,0.395811
