benchmark_protocol_tag,dataset_version,evaluation_schema_version,family,joint_outcome,keep_label,keep_prob,layout_split_hash,layout_split_version,line_label,line_prob,modes_disagree,recovery_event_version,source_commit,split,state_id,team_size
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|0,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|12,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|24,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|36,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|48,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|60,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,keep_only,1,1.0,d61170fe3f544510,layouts-v1,0,0.25,1,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000400|72,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000401|0,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000401|12,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000401|24,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,both_succeed,1,1.0,d61170fe3f544510,layouts-v1,1,1.0,0,2,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,train_keep_open_001|4|10000401|36,4
