benchmark_protocol_tag,dataset_version,evaluation_schema_version,family,layout_split_hash,layout_split_version,mean_empirical_probability,mode,n,positive_rate,recovery_event_version,scope,source_commit,split,team_size
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,1.0,keep,42,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,1.0,keep,28,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,0.875,keep,48,0.875,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,0.875,keep,32,0.875,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,0.9940476190476191,line,42,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,1.0,line,28,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,0.875,line,48,0.875,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,ambiguous,d61170fe3f544510,layouts-v1,0.875,line,32,0.875,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.7268518518518519,keep,54,0.7592592592592593,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.6805555555555556,keep,36,0.75,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.0,keep,60,0.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.0,keep,40,0.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.7962962962962963,line,54,0.8333333333333334,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.7430555555555556,line,36,0.7777777777777778,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.19166666666666668,line,60,0.2,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_line_keep,d61170fe3f544510,layouts-v1,0.35625,line,40,0.375,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,1.0,keep,42,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,1.0,keep,28,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,0.9767441860465116,keep,43,0.9767441860465116,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,1.0,keep,28,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,0.8809523809523809,line,42,0.8571428571428571,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,0.9017857142857143,line,28,0.9285714285714286,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,0.9767441860465116,line,43,0.9767441860465116,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,keep_open,d61170fe3f544510,layouts-v1,1.0,line,28,1.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.8782051282051282,keep,78,0.9230769230769231,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.95,keep,50,0.98,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.0,keep,90,0.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.0,keep,60,0.0,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.8141025641025641,line,78,0.8333333333333334,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.845,line,50,0.86,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,4
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.32222222222222224,line,90,0.35555555555555557,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,train,6
benchmark-protocol-v2-smoke,taskrecovery-v2-labels,2,line_corridor,d61170fe3f544510,layouts-v1,0.36666666666666664,line,60,0.38333333333333336,2,family_x_mode_x_team_x_split,3f881e0c54ddd6c281667b99b74a3c4b9349c80e,val,6
