case_name,projection_enabled,collision_after_step,minimum_clearance_meters,action_modification_meters_per_second_squared,intervention_step,intervention_duration_steps,projection_status,solver_failure,infeasible_fallback,goal_progress_meters,deadlock,false_intervention,base_action,executed_action
safe_open,False,False,,0.0,,0,disabled_diagnostic,False,False,0.013500000000000012,False,False,"(0.6, 0.0)","(0.6, 0.0)"
safe_open,True,False,,0.0,,0,unchanged,False,False,0.013500000000000012,False,False,"(0.6, 0.0)","(0.6, 0.0)"
static_obstacle_uncertain,False,False,0.5990000000000001,0.0,,0,disabled_diagnostic,False,False,0.0010000000000000009,False,False,"(0.04444444444444451, 0.0)","(0.04444444444444451, 0.0)"
static_obstacle_uncertain,True,False,0.6135000000000002,0.6444444444444445,0,1,infeasible_conservative_fallback,False,True,-0.013500000000000012,False,False,"(0.04444444444444451, 0.0)","(-0.6, 0.0)"
two_sided_restriction,False,True,0.5434525000000001,0.0,,0,disabled_diagnostic,False,False,0.013297500000000018,False,False,"(0.591, 0.0)","(0.591, 0.0)"
two_sided_restriction,True,False,0.55,0.2909999999999985,0,1,local_constraint_projection,False,False,0.006750000000000034,False,False,"(0.591, 0.0)","(0.3000000000000015, 0.0)"
fresh_peer_approach,False,False,0.401,0.0,,0,disabled_diagnostic,False,False,0.05399999999999999,False,False,"(0.4, 0.0)","(0.4, 0.0)"
fresh_peer_approach,True,False,0.41350000000000003,0.5555555555555564,0,1,local_constraint_projection,False,False,0.04149999999999998,False,False,"(0.4, 0.0)","(-0.15555555555555634, 0.0)"
stale_peer,False,False,0.4365,0.0,,0,disabled_diagnostic,False,False,0.013500000000000012,False,False,"(0.6, 0.0)","(0.6, 0.0)"
stale_peer,True,False,0.4635,1.2,0,1,infeasible_conservative_fallback,False,True,-0.013500000000000012,False,False,"(0.6, 0.0)","(-0.6, 0.0)"
moving_obstacle,False,True,0.5406850000000001,0.0,,0,disabled_diagnostic,False,False,0.002564999999999984,False,False,"(0.11399999999999999, 0.0)","(0.11399999999999999, 0.0)"
moving_obstacle,True,False,0.55,0.4140000000000015,0,1,local_constraint_projection,False,False,-0.006750000000000034,False,False,"(0.11399999999999999, 0.0)","(-0.3000000000000015, 0.0)"
infeasible_constraints,False,True,0.4865,0.0,,0,disabled_diagnostic,False,False,0.013500000000000012,False,False,"(0.6, 0.0)","(0.6, 0.0)"
infeasible_constraints,True,True,0.4865,1.2,0,1,infeasible_conservative_fallback,False,True,-0.013500000000000012,False,False,"(0.6, 0.0)","(-0.6, 0.0)"
