benchmark_tag,best_fixed_success,episode_seed,family,git_commit,keep_collision_free,keep_completion_time,keep_deadlock,keep_goal_reached,keep_irreversible_collapse,keep_success,keep_time_in_formation_tube,layout_id,line_collision_free,line_completion_time,line_deadlock,line_goal_reached,line_irreversible_collapse,line_success,line_time_in_formation_tube,oracle_collision_free,oracle_completion_time,oracle_deadlock,oracle_goal_reached,oracle_irreversible_collapse,oracle_success,oracle_switches,oracle_time_in_formation_tube,split_collision_free,split_completion_time,split_deadlock,split_goal_reached,split_irreversible_collapse,split_success,split_time_in_formation_tube,switch_necessity,team_size
method-audit-v2-complete,1.0,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0.8658536585365854,val_keep_open_001,1.0,15.0,0.0,1.0,0.0,1.0,0.93,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0,0.8658536585365854,1.0,12.6,0.0,1.0,0.0,0.0,0.21428571428571427,0,4
method-audit-v2-complete,1.0,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0.8658536585365854,val_keep_open_001,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9207920792079208,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0,0.8658536585365854,1.0,12.45,0.0,1.0,0.0,0.0,0.21686746987951808,0,4
method-audit-v2-complete,1.0,20000402,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.15,0.0,1.0,0.0,1.0,0.8641975308641975,val_keep_open_001,1.0,14.85,0.0,1.0,0.0,1.0,0.9292929292929293,1.0,12.15,0.0,1.0,0.0,1.0,0,0.8641975308641975,1.0,12.45,0.0,1.0,0.0,0.0,0.2289156626506024,0,4
method-audit-v2-complete,1.0,20000403,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.15,0.0,1.0,0.0,1.0,0.8641975308641975,val_keep_open_001,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9215686274509803,1.0,11.549999999999999,0.0,1.0,0.0,1.0,5,0.6493506493506493,1.0,12.299999999999999,0.0,1.0,0.0,0.0,0.21951219512195122,0,4
method-audit-v2-complete,1.0,20000600,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_001,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9108910891089109,1.0,12.75,0.0,1.0,0.0,1.0,2,0.7058823529411765,1.0,12.45,0.0,1.0,0.0,0.0,0.2289156626506024,0,6
method-audit-v2-complete,1.0,20000601,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_001,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9108910891089109,1.0,12.75,0.0,1.0,0.0,1.0,2,0.7058823529411765,1.0,12.45,0.0,1.0,0.0,0.0,0.2289156626506024,0,6
method-audit-v2-complete,1.0,20000602,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_001,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9019607843137255,1.0,12.6,0.0,1.0,0.0,1.0,4,0.5714285714285714,1.0,12.45,0.0,1.0,0.0,0.0,0.2289156626506024,0,6
method-audit-v2-complete,1.0,20000603,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_001,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9019607843137255,1.0,12.9,0.0,1.0,0.0,1.0,2,0.7093023255813954,1.0,12.6,0.0,1.0,0.0,0.0,0.2261904761904762,0,6
method-audit-v2-complete,1.0,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0.8658536585365854,val_keep_open_002,1.0,15.0,0.0,1.0,0.0,1.0,0.93,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0,0.8658536585365854,1.0,11.85,0.0,1.0,0.0,0.0,0.22784810126582278,0,4
method-audit-v2-complete,1.0,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0.8658536585365854,val_keep_open_002,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9207920792079208,1.0,12.299999999999999,0.0,1.0,0.0,1.0,0,0.8658536585365854,1.0,11.7,0.0,1.0,0.0,0.0,0.23076923076923078,0,4
