R_keep,R_line,R_split,benchmark_tag,best_mode,episode_seed,family,git_commit,keep_regret,layout_id,mode_margin,mode_necessity,qualified,step,team_size
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,0,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,10,4
1.0,0.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,1,20,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,30,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,40,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,50,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,60,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,70,4
0.0,0.0,0.0,method-audit-v2-complete,keep,20000400,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,80,4
1.0,0.75,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,1,0,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,10,4
1.0,0.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,1,20,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,30,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,40,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,50,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,60,4
1.0,1.0,1.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,70,4
0.0,0.0,0.0,method-audit-v2-complete,keep,20000401,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,0,80,4
0.0,0.0,1.0,method-audit-v2-complete,split,20000600,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,val_keep_open_001,1.0,1,1,0,6
1.0,0.0,1.0,method-audit-v2-complete,keep,20000600,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,0.0,0,1,10,6
1.0,0.0,0.0,method-audit-v2-complete,keep,20000600,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,1.0,0,1,20,6
1.0,0.0,0.0,method-audit-v2-complete,keep,20000600,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,val_keep_open_001,1.0,0,1,30,6
