R_keep,R_line,R_split,benchmark_tag,best_mode,family,keep_regret,layout_id,mode_margin,mode_necessity,qualified,step,team_size
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_001,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_001,0.0,0,0,40,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_001,0.0,0,0,80,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_001,0.0,0,0,0,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_001,0.0,0,0,40,6
1.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_001,1.0,0,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_002,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_002,0.0,0,0,40,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_002,0.0,0,0,80,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_002,0.0,0,0,0,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_002,0.0,0,0,40,6
1.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_open,0.0,val_keep_open_002,1.0,0,1,80,6
1.0,0.3333333333333333,1.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_001,0.0,0,1,0,4
0.6666666666666666,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,line,line_corridor,0.33333333333333337,val_line_corridor_001,0.33333333333333337,0,1,40,4
1.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_001,0.0,0,1,80,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_001,0.0,0,0,0,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_001,0.0,0,0,40,6
0.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,line,line_corridor,1.0,val_line_corridor_001,1.0,1,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_002,0.0,0,0,0,4
1.0,1.0,0.6666666666666666,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_002,0.0,0,1,40,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_002,0.0,0,0,80,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_002,0.0,0,0,0,6
0.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,line,line_corridor,1.0,val_line_corridor_002,1.0,1,1,40,6
0.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,line,line_corridor,1.0,val_line_corridor_002,1.0,1,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_003,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_003,0.0,0,0,40,4
1.0,0.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,line_corridor,0.0,val_line_corridor_003,0.0,0,1,80,4
0.0,0.3333333333333333,0.0,scenario-headroom-v1-invalid-recovery-label,line,line_corridor,0.3333333333333333,val_line_corridor_003,0.3333333333333333,0,0,0,6
0.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,line,line_corridor,1.0,val_line_corridor_003,1.0,1,1,40,6
